entry_time,entry_price,exit_time,exit_price,pnl
44,1.1789672374725342,50,1.178272724151611,-0.0006945133209230736
108,1.1752262115478516,153,1.1798018217086792,0.004575610160827637
173,1.1807769536972046,192,1.18035888671875,-0.00041806697845458984
234,1.174812078475952,253,1.174122333526611,-0.0006897449493408203
286,1.1674060821533203,307,1.1668611764907837,-0.0005449056625366211
315,1.1700011491775513,350,1.172333002090454,0.002331852912902832
356,1.1745359897613523,369,1.1730204820632937,-0.001515507698058638
390,1.174122333526611,406,1.1743981838226318,0.00027585029602072986
413,1.1752262115478516,421,1.17384672164917,-0.0013794898986816406
434,1.174812078475952,447,1.1728830337524414,-0.0019290447235105201
475,1.1732958555221558,502,1.1719207763671875,-0.0013750791549682617
518,1.172195553779602,535,1.172333002090454,0.00013744831085205078
537,1.173433542251587,562,1.1746740341186523,0.0012404918670654297
597,1.1713716983795166,616,1.1710972785949707,-0.00027441978454589844
649,1.1676785945892334,655,1.1657729148864746,-0.001905679702758789
685,1.1633317470550537,696,1.1609008312225342,-0.0024309158325195312
706,1.1633317470550537,725,1.1617100238800049,-0.0016217231750488281
759,1.156738042831421,784,1.1576753854751587,0.000937342643737793
789,1.163061261177063,820,1.1595547199249268,-0.0035065412521362305
845,1.1574074029922483,849,1.157139539718628,-0.0002678632736203834
860,1.1590172052383425,869,1.1560693979263306,-0.002947807312011941
881,1.15968918800354,926,1.1623852252960205,0.0026960372924804688
934,1.163602590560913,963,1.1655012369155884,0.001898646354675293
976,1.1674060821533203,1016,1.169727444648743,0.0023213624954225853
